Dataset,CV_K,CV_RMSE_mean,CV_RMSE_std,CV_MAE_mean,CV_MAE_std,CV_R2_mean,CV_R2_std,CV_Pearson_r_mean,CV_Pearson_r_std,Best_max_trials,Best_min_samples
Conversion,5,0.40760892687178074,0.11239021103388903,0.32726834776182245,0.08225553687319517,0.7903508169447857,0.11168286664962537,0.9258859686538804,0.03925808680380072,257,0.0333775240277908
Gasoline Yield,5,0.8558462698034782,0.08115606826959405,0.6534235416780844,0.09019358782290524,0.029346815955486428,0.29492120404822475,0.5407736973790749,0.38459985224729093,401,0.05968904729306925
