RUN No.,Avg ROT ( °C),Catalyst,STM.(% of feed),Feed,Mass balance (%),Cat/Oil,Conversion (%),H2,C1,C2,C2=,C3,C3=,iC4,nC4,t2C4=,1C4=,iC4=,c2C4=,"1,3-BD",C4=(Liq.),Total Gas,Gasoline,LCO,HCO,Coke,H2-C2 (dry gas),C3-C4 (LPG),C2=-C4= (Light olefins),C3=+C4=,C4= (Butenes),C2=/C2,C3=/C3,C4=/C4,iC4=/C4=,iC4=/iC4,"Res Time based on exit cond, (second)"
2312-PP-33,670.3,CAT-2,15,Light Naphtha,97.3148407,32.77875,98.6461212,0.464422902,10.51732959,7.407820584,14.77501832,1.966493066,18.51170222,0.181821023,0.617865508,2.005969948,1.629207201,3.261641205,1.652303632,0.174609586,,63.16620479,34.35882695,1.210285596,0.143593206,1.121089465,33.1645914,30.00161339,42.01045211,27.23543379,8.723731572,2.136981666,9.861825695,11.31297376,0.373881427,17.93874632,2.848581928
2295-PP-02,562.2,CAT-3,24.79338843,VGO2,95.88451036,19.42545455,72.04736424,0.060465008,0.834497477,0.571790841,2.346747046,0.912456475,15.70529278,3.468044487,0.489885939,3.288267653,2.361666652,5.602090409,2.594287991,0.081279763,,38.31677252,32.7168025,15.07681535,12.87582041,1.013789219,3.813500373,34.50327215,31.9796323,29.63288525,13.92759247,0.814724335,0.947456154,0.784695425,0.402229633,1.615345602,0.354364964
2295-PP-01,561.6,CAT-3,24.63054187,VGO2,96.90089562,21.9,72.89441969,0.050015767,0.524219788,0.400116213,2.195620081,0.873053529,15.93360069,3.518990874,0.51267016,3.443389837,2.300398509,5.675852984,2.651163128,0.043661011,,38.12275257,33.71220822,14.59531247,12.51026783,1.059458899,3.169971848,34.95278073,32.24368624,30.04806616,14.11446547,0.854638846,0.950296966,0.783827633,0.402130211,1.612920632,0.355261939
2295-PP-03,563,CAT-3,23.62204724,VGO2,95.4776254,25.38062992,75.61524582,0.054987678,0.720208597,0.464233338,2.452667565,0.969776983,17.02731789,3.811793771,0.554617033,3.639738214,2.395971866,5.870023506,2.833063056,0.066611406,,40.8610109,33.42657507,14.91894243,9.46581175,1.327659851,3.692097179,37.16891372,34.2853935,31.83272593,14.80540805,0.849864292,0.948437839,0.778361345,0.396478333,1.53996356,0.325180011
2295-PP-06,561.9,CAT-4,24.75247525,VGO2,99.69851499,17.45049505,67.53740241,0.055033129,0.987224856,0.695588304,2.305604074,0.914773776,13.87374213,3.296595912,0.45472393,2.890047433,2.087319881,4.92577478,2.284997967,0.107651138,,34.87907731,31.70497321,15.4330382,17.02955939,0.953351882,4.043450364,30.83562695,28.47513741,26.16953333,12.2957912,3.551368049,15.88851463,3.399121219,0.400606573,1.494200355,0.36822621
2295-PP-05,562.23,CAT-4,24.27184466,VGO2,96.44487563,21.19093851,70.16604039,0.056101585,1.006391607,0.709092997,2.350366864,0.932533905,14.14309775,3.558408452,0.463552294,2.946157061,2.127844733,5.021407602,2.329360694,0.109741161,,35.7540567,33.7160693,15.41518935,14.41877026,0.695914385,4.121953053,31.63210365,29.02797586,26.677609,12.53451125,3.551368049,15.88851463,3.231944126,0.400606573,1.411138623,0.349016587
2295-PP-04,561.6,CAT-4,23.92344498,VGO2,96.0141381,25.45789474,76.75019272,0.049161903,0.659030274,0.440529294,2.421875142,1.009831155,16.31431467,4.304292262,0.596213448,3.481730551,2.339393185,5.575751046,2.736938811,0.057892462,,39.9869542,35.46740041,13.90789826,9.341909021,1.295838102,3.570596614,36.41635759,32.92789587,30.50602073,14.19170606,5.890337506,16.9247965,3.003225722,0.392888003,1.295393228,0.330087683
2295-PP-07,562.1,CAT-5,23.96166134,VGO2,95.48098525,16.97827476,72.4343857,0.052954054,0.784216673,0.529574584,2.701616181,1.083812317,16.2602902,3.845379579,0.595647417,3.288551955,2.390591058,5.465432115,2.60358775,0.07081323,,39.67246711,32.00688638,14.96265835,12.60295596,0.755032202,4.068361492,35.60410562,32.78088249,30.07926631,13.81897611,5.465875539,15.71728745,3.226909013,0.395501958,1.421298471,0.337506091
2295-PP-11,562.3,CAT-5,25.04173623,VGO2,95.58951133,17.17245409,69.33776234,0.038689996,0.605967102,0.436281113,2.018588845,0.874895837,14.06269274,3.780128575,0.50866936,2.986748752,2.162644596,4.962991321,2.367745478,0.049729633,,34.85577335,33.30896794,15.85776031,14.80447734,1.173021057,3.099527056,31.75624629,28.61114136,26.59255252,12.52985978,4.957294036,16.83897003,3.029736737,0.396093125,1.312916009,0.376792423
2295-PP-10,561.6,CAT-5,24.71169687,VGO2,98.10952829,20.50411862,72.18835558,0.040782766,0.584244094,0.4090061,2.100516177,0.943159953,15.0012625,4.084796928,0.549352501,3.124095173,2.265528597,5.184367499,2.504110229,0.055831326,,36.84705384,33.82026099,15.27681876,12.53482565,1.521040754,3.134549137,33.7125047,30.2357115,28.13519532,13.13393282,5.502492622,16.662718,2.939131547,0.394730776,1.269186104,0.362422421
